WAKTU_LOG,ID,VOLT(V),ARUS(A),DAYA(W),ENERGI(Wh),FREQ(Hz),PF,STATUS
2026-06-18 08:09:19,1,234.8,0.076,7.6,2,50.0,0.43,Success
2026-06-18 08:09:20,2,233.8,0.074,7.6,8,49.9,0.44,Success
2026-06-18 08:09:20,3,234.0,0.076,7.7,19,50.0,0.43,Success
2026-06-18 08:09:21,4,233.9,0.076,7.7,25,50.0,0.43,Success
2026-06-18 08:09:22,5,235.1,0.071,7.7,2,50.0,0.46,Success
2026-06-18 08:09:22,6,234.0,0.075,7.7,25,50.0,0.44,Success
2026-06-18 08:09:23,7,234.1,0.076,7.7,25,49.9,0.43,Success
2026-06-18 08:09:25,8,233.9,0.075,7.7,25,50.0,0.44,Success
2026-06-18 08:09:25,9,234.4,0.074,7.7,25,49.9,0.44,Success
2026-06-18 08:09:26,10,234.5,0.072,7.7,25,50.0,0.46,Success
2026-06-18 08:09:26,11,234.0,0.066,7.7,23,49.9,0.5,Success
2026-06-18 08:09:27,12,235.3,0.075,7.7,25,49.9,0.44,Success
2026-06-18 08:09:28,13,208.8,0.069,7.7,23,24.4,0.48,Warning
2026-06-18 08:09:29,14,234.2,0.076,7.6,0,49.9,0.43,Success
2026-06-18 08:09:29,15,234.9,0.076,7.8,25,49.9,0.44,Success
2026-06-18 08:09:30,16,235.1,0.075,7.8,26,49.9,0.44,Success
2026-06-18 08:09:30,17,235.0,0.067,7.7,25,50.0,0.49,Success
2026-06-18 08:09:31,18,235.5,0.076,7.8,19,50.0,0.44,Success
2026-06-18 08:09:32,19,235.2,0.076,7.7,27,49.9,0.43,Success
2026-06-18 08:09:32,20,234.2,0.075,7.7,25,50.0,0.44,Success
2026-06-18 08:09:33,21,234.7,0.077,7.8,26,49.9,0.43,Success
2026-06-18 08:09:33,22,235.4,0.074,7.8,26,49.9,0.45,Success
2026-06-18 08:09:34,23,235.4,0.077,7.7,25,49.9,0.42,Success
2026-06-18 08:09:35,24,235.7,0.076,7.8,25,50.0,0.44,Success
2026-06-18 08:09:35,25,234.4,0.076,7.7,25,50.0,0.43,Success
2026-06-18 08:09:36,26,235.4,0.076,7.8,25,49.9,0.44,Success
2026-06-18 08:09:36,27,234.8,0.069,7.8,23,50.0,0.48,Success
2026-06-18 08:09:37,28,235.3,0.076,7.8,25,50.0,0.44,Success
2026-06-18 08:09:38,29,234.8,0.076,7.6,0,49.9,0.43,Success
2026-06-18 08:09:39,30,234.3,0.069,7.7,25,50.0,0.48,Success
2026-06-18 08:09:40,1,235.0,0.076,7.7,2,50.0,0.43,Success
2026-06-18 08:09:40,2,234.0,0.075,7.7,8,50.0,0.44,Success
2026-06-18 08:09:41,3,234.3,0.075,7.7,19,50.0,0.44,Success
2026-06-18 08:09:41,4,233.9,0.076,7.7,25,50.0,0.43,Success
2026-06-18 08:09:42,5,235.2,0.073,7.8,2,49.9,0.45,Success
2026-06-18 08:09:43,6,234.0,0.074,7.8,25,49.9,0.45,Success
2026-06-18 08:09:43,7,234.3,0.076,7.7,25,50.0,0.43,Success
2026-06-18 08:09:44,8,234.3,0.076,7.7,25,49.9,0.43,Success
2026-06-18 08:09:44,9,234.6,0.074,7.7,25,50.0,0.44,Success
2026-06-18 08:09:45,10,234.8,0.07,7.8,25,50.0,0.47,Success
2026-06-18 08:09:45,11,234.2,0.067,7.7,23,50.0,0.49,Success
2026-06-18 08:09:46,12,235.4,0.076,7.8,25,50.0,0.44,Success
2026-06-18 08:09:48,13,234.5,0.07,7.8,23,50.0,0.48,Success
2026-06-18 08:09:48,14,234.4,0.076,7.7,0,49.9,0.43,Success
2026-06-18 08:09:49,15,235.2,0.075,7.8,25,50.0,0.44,Success
2026-06-18 08:09:50,16,235.5,0.072,7.8,26,50.0,0.46,Success
2026-06-18 08:09:50,17,235.3,0.07,7.7,25,50.0,0.47,Success
2026-06-18 08:09:51,18,235.8,0.076,7.8,19,50.0,0.44,Success
2026-06-18 08:09:51,19,235.5,0.076,7.7,27,49.9,0.43,Success
2026-06-18 08:09:52,20,234.5,0.073,7.7,25,50.0,0.45,Success
2026-06-18 08:09:53,21,235.1,0.076,7.7,26,50.0,0.43,Success
2026-06-18 08:09:53,22,235.5,0.074,7.8,26,50.0,0.45,Success
2026-06-18 08:09:54,23,235.3,0.076,7.7,25,49.9,0.43,Success
2026-06-18 08:09:54,24,235.6,0.076,7.8,25,50.0,0.44,Success
2026-06-18 08:09:55,25,234.3,0.076,7.7,25,49.9,0.43,Success
2026-06-18 08:09:55,26,235.3,0.076,7.7,25,50.0,0.43,Success
2026-06-18 08:09:56,27,234.6,0.066,7.7,23,49.9,0.5,Success
2026-06-18 08:09:57,28,235.2,0.076,7.8,25,49.9,0.44,Success
2026-06-18 08:09:57,29,234.8,0.076,7.7,0,50.0,0.43,Success
